epoch,train_acc,val_acc,train_loss,val_loss
1,27.900658330140374,21.147952075787128,2.4078697349514524,1.8572421670126098
2,40.705005399003795,17.44218445249373,1.533289261831585,1.9276170841861682
3,48.23574488836253,17.44218445249373,1.3621585946408779,2.026204835375427
4,54.03531993451531,16.299804959598774,1.2220382838750974,2.193322052162449
5,59.747814274269395,20.702145444413485,1.0792008903549857,1.9845800287512958
6,65.8643630917134,17.135692393424353,0.934832389322982,2.533310967124116
7,70.69560068271274,29.00529395374756,0.811172302817139,2.0843228610254787
8,75.58953638231914,32.93396489272778,0.6818541842193089,2.780092238184136
9,80.09683374551534,31.707996656450266,0.5619801182728451,3.0006836366773015
10,82.36441534013724,41.320702145444415,0.5283400313687044,2.3753288461159583
11,88.62725974433104,46.83755920869323,0.3429782554289777,2.302189042954167
12,91.41732557734508,46.698244636388964,0.26924550419001747,2.745703193263843
13,94.40245219269218,52.855948732237394,0.1766363126623323,2.275051569799156
14,95.69472987564875,52.047924212872665,0.1424573219375985,2.459175894405889
15,95.7783273537915,52.438005015324606,0.13802080399935934,2.453294288484324
16,96.8685777979031,56.92393424352187,0.10759913209503819,2.1857808085330253
17,98.51266153471038,58.679297854555585,0.06629259987020608,2.0503856088830155
18,99.20582395764394,55.75369183616606,0.04465238377983914,2.4064130074933368
19,98.35939949144867,56.143772638617996,0.06261992348488639,2.4302524770990193
20,98.84356821902539,58.98578991362496,0.0549920681505106,2.1833182315236512
21,99.3486363161378,58.98578991362496,0.03274573633515608,2.164365206564592
22,99.61336166358981,59.320144887155195,0.025440158409749784,2.1926795055886834
23,99.6203281201017,60.10030649205907,0.02232376480149175,2.2013164747056937
24,99.65516040266118,58.17776539426024,0.018349544010216094,2.141378928506298
25,99.72134173952419,60.12816940651992,0.014560577586376786,2.1467696252590636
26,99.56459646800654,59.98885483421566,0.01964989966515851,2.0967465782271817
27,99.67257654394092,58.846475341320705,0.016404714713026153,2.0909613534646234
28,99.67954300045282,59.23655614377264,0.013559328115993632,2.188340121173832
29,99.70392559824445,60.01671774867651,0.012393849509492091,2.2306064513773265
30,99.6412274896374,59.73808860406798,0.01448242361559839,2.0834944810864653
31,99.6934759134766,60.072443577598214,0.012221455941662976,2.162089468676189
32,99.71089205475634,60.54611312343271,0.010365458028568126,2.1126131257428935
33,99.72134173952419,59.821677347450546,0.00927951755901056,2.1826025628551995
34,99.72830819603608,60.76901643911953,0.009141505228579948,2.167776934846127
35,99.70044236998851,60.12816940651992,0.010867058202587371,2.2268042571035127
36,99.72482496778014,60.9083310114238,0.009011212044931969,2.2194319587791487
37,99.71785851126825,60.88046809696294,0.008633558544820437,2.137176428043135
38,99.71089205475634,61.047645583728055,0.007774620771927382,2.1702796615707936
39,99.71785851126825,61.07550849818891,0.008294018344234329,2.1748936976785944
40,99.74572433731582,61.047645583728055,0.007522963742072727,2.2429205557535403
41,99.74572433731582,60.60183895235441,0.006844577311870898,2.2798261172129073
42,99.75269079382772,61.07550849818891,0.006467264988122432,2.1795951806592155
43,99.74572433731582,60.54611312343271,0.006666090747883523,2.3523310409943416
44,99.70392559824445,60.4346614655893,0.006807613737235123,2.213481920215206
45,99.7074088265004,60.79687935358039,0.006385473774002469,2.270475303738122
46,99.68302622870877,60.183895235441625,0.009390820806052603,2.2332397365543497
47,99.70044236998851,60.936193925884645,0.009642096810697937,2.229137242222337
48,99.74224110905988,61.214823070493175,0.007070460327494764,2.231363332049034
49,99.72482496778014,61.52131512956255,0.006231856358418678,2.21997988034703
50,99.7143752830123,61.63276678740596,0.00711233227514801,2.217451715177067
