epoch,train_acc,val_acc,train_loss,val_loss
1,27.900658330140374,21.147952075787128,2.4078697349514524,1.8572421670126098
2,40.705005399003795,17.44218445249373,1.533289261831585,1.9276170841861682
3,48.23574488836253,17.44218445249373,1.3621585946408779,2.026204835375427
4,54.03531993451531,16.299804959598774,1.2220382838750974,2.193322052162449
5,59.747814274269395,20.702145444413485,1.0792008903549857,1.9845800287512958
6,65.8643630917134,17.135692393424353,0.934832389322982,2.533310967124116
7,70.69560068271274,29.00529395374756,0.811172302817139,2.0843228610254787
8,75.58953638231914,32.93396489272778,0.6818541842193089,2.780092238184136
9,80.09683374551534,31.707996656450266,0.5619801182728451,3.0006836366773015
10,82.36441534013724,41.320702145444415,0.5283400313687044,2.3753288461159583
11,88.62725974433104,46.83755920869323,0.3429782554289777,2.302189042954167
12,91.41732557734508,46.698244636388964,0.26924550419001747,2.745703193263843
13,94.40245219269218,52.855948732237394,0.1766363126623323,2.275051569799156
14,95.69472987564875,52.047924212872665,0.1424573219375985,2.459175894405889
15,95.7783273537915,52.438005015324606,0.13802080399935934,2.453294288484324
16,96.8685777979031,56.92393424352187,0.10759913209503819,2.1857808085330253
17,98.51266153471038,58.679297854555585,0.06629259987020608,2.0503856088830155
18,99.20582395764394,55.75369183616606,0.04465238377983914,2.4064130074933368
19,98.35939949144867,56.143772638617996,0.06261992348488639,2.4302524770990193
20,98.84356821902539,58.98578991362496,0.0549920681505106,2.1833182315236512
21,99.3486363161378,58.98578991362496,0.03274573633515608,2.164365206564592
22,99.61336166358981,59.320144887155195,0.025440158409749784,2.1926795055886834
23,99.6203281201017,60.10030649205907,0.02232376480149175,2.2013164747056937
